"icd_decimal","icd_short"
"F13.231","F13231"
"F13.232","F13232"
"F13.239","F13239"
"F13.24","F1324"
"F13.26","F1326"
"F13.27","F1327"
"F13.281","F13281"
"F13.282","F13282"
"F13.288","F13288"
"F13.29","F1329"
"F13.90","F1390"
"F13.92","F1392"
"F13.920","F13920"
"F13.921","F13921"
"F13.929","F13929"
"F13.93","F1393"
"F13.930","F13930"
"F13.931","F13931"
"F13.932","F13932"
"F13.939","F13939"
"F13.94","F1394"
"F13.96","F1396"
"F13.97","F1397"
"F13.981","F13981"
"F13.982","F13982"
"F13.988","F13988"
"F13.99","F1399"
"F14.10","F1410"
"F14.12","F1412"
"F14.120","F14120"
"F14.121","F14121"
"F14.122","F14122"
"F14.129","F14129"
"F14.14","F1414"
"F14.181","F14181"
"F14.182","F14182"
"F14.188","F14188"
"F14.19","F1419"
"F14.20","F1420"
"F14.22","F1422"
"F14.220","F14220"
"F14.221","F14221"
"F14.222","F14222"
"F14.229","F14229"
"F14.23","F1423"
"F14.24","F1424"
"F14.281","F14281"
"F14.282","F14282"
"F14.288","F14288"
"F14.29","F1429"
"F14.90","F1490"
"F14.92","F1492"
"F14.920","F14920"
"F14.921","F14921"
"F14.922","F14922"
"F14.929","F14929"
"F14.94","F1494"
"F14.981","F14981"
"F14.982","F14982"
"F14.988","F14988"
"F14.99","F1499"
"F15.10","F1510"
"F15.12","F1512"
"F15.120","F15120"
"F15.121","F15121"
"F15.122","F15122"
"F15.129","F15129"
"F15.14","F1514"
"F15.181","F15181"
"F15.182","F15182"
"F15.188","F15188"
"F15.19","F1519"
"F15.20","F1520"
"F15.22","F1522"
"F15.220","F15220"
"F15.221","F15221"
"F15.222","F15222"
"F15.229","F15229"
"F15.23","F1523"
"F15.24","F1524"
"F15.281","F15281"
"F15.282","F15282"
"F15.288","F15288"
"F15.29","F1529"
"F15.90","F1590"
"F15.92","F1592"
"F15.920","F15920"
"F15.921","F15921"
"F15.922","F15922"
"F15.929","F15929"
"F15.93","F1593"
"F15.94","F1594"
"F15.981","F15981"
"F15.982","F15982"
"F15.988","F15988"
"F15.99","F1599"
"F16.10","F1610"
"F16.12","F1612"
"F16.120","F16120"
"F16.121","F16121"
"F16.122","F16122"
"F16.129","F16129"
"F16.14","F1614"
"F16.183","F16183"
"F16.188","F16188"
"F16.19","F1619"
"F16.20","F1620"
"F16.22","F1622"
"F16.220","F16220"
"F16.221","F16221"
"F16.229","F16229"
"F16.24","F1624"
"F16.283","F16283"
"F16.288","F16288"
"F16.29","F1629"
"F16.90","F1690"
"F16.92","F1692"
"F16.920","F16920"
"F16.921","F16921"
"F16.929","F16929"
"F16.94","F1694"
"F16.983","F16983"
"F16.988","F16988"
"F16.99","F1699"
"F18.10","F1810"
"F18.12","F1812"
"F18.120","F18120"
"F18.121","F18121"
"F18.129","F18129"
"F18.14","F1814"
"F18.17","F1817"
"F18.188","F18188"
"F18.19","F1819"
"F18.20","F1820"
"F18.22","F1822"
"F18.220","F18220"
"F18.221","F18221"
"F18.229","F18229"
"F18.24","F1824"
"F18.27","F1827"
"F18.288","F18288"
"F18.29","F1829"
"F18.90","F1890"
"F18.92","F1892"
"F18.920","F18920"
"F18.921","F18921"
"F18.929","F18929"
"F18.94","F1894"
"F18.97","F1897"
"F18.988","F18988"
"F18.99","F1899"
"F17.200","F17200"
"F17.203","F17203"
"F17.208","F17208"
"F17.209","F17209"
"F17.210","F17210"
"F17.213","F17213"
"F17.218","F17218"
"F17.219","F17219"
"F17.220","F17220"
"F17.223","F17223"
"F17.228","F17228"
"F17.229","F17229"
"F17.290","F17290"
"F17.293","F17293"
"F17.298","F17298"
"F17.299","F17299"
"O99.33","O9933"
"O99.330","O99330"
"O99.331","O99331"
"O99.332","O99332"
"O99.333","O99333"
"O99.334","O99334"
"O99.335","O99335"
"F19.10","F1910"
"F19.12","F1912"
"F19.120","F19120"
"F19.121","F19121"
"F19.122","F19122"
"F19.129","F19129"
"F19.14","F1914"
"F19.16","F1916"
"F19.17","F1917"
"F19.181","F19181"
"F19.182","F19182"
"F19.188","F19188"
"F19.19","F1919"
"F19.20","F1920"
"F19.22","F1922"
"F19.220","F19220"
"F19.221","F19221"
"F19.222","F19222"
"F19.229","F19229"
"F19.23","F1923"
"F19.230","F19230"
"F19.231","F19231"
"F19.232","F19232"
"F19.239","F19239"
"F19.24","F1924"
"F19.26","F1926"
"F19.27","F1927"
"F19.281","F19281"
"F19.282","F19282"
"F19.288","F19288"
"F19.29","F1929"
"F19.90","F1990"
"F19.92","F1992"
"F19.920","F19920"
"F19.921","F19921"
"F19.922","F19922"
"F19.929","F19929"
"F19.93","F1993"
"F19.930","F19930"
"F19.931","F19931"
"F19.932","F19932"
"F19.939","F19939"
"F19.94","F1994"
"F19.96","F1996"
"F19.97","F1997"
"F19.981","F19981"
"F19.982","F19982"
"F19.988","F19988"
"F19.99","F1999"
"O35.5","O355"
"O35.5XX0","O355XX0"
"O35.5XX1","O355XX1"
"O35.5XX2","O355XX2"
"O35.5XX3","O355XX3"
"O35.5XX4","O355XX4"
"O35.5XX5","O355XX5"
"O35.5XX9","O355XX9"
"O99.32","O9932"
"O99.320","O99320"
"O99.321","O99321"
"O99.322","O99322"
"O99.323","O99323"
"O99.324","O99324"
"O99.325","O99325"
"F06.4","F064"
"F31.3","F313"
"F31.30","F3130"
"F31.31","F3131"
"F31.32","F3132"
"F31.4","F314"
"F31.5","F315"
"F31.6","F316"
"F31.60","F3160"
"F31.61","F3161"
"F31.62","F3162"
"F31.63","F3163"
"F31.64","F3164"
"F31.75","F3175"
"F31.76","F3176"
"F31.77","F3177"
"F31.78","F3178"
"F31.81","F3181"
"F32.0","F320"
"F32.1","F321"
"F32.2","F322"
"F32.3","F323"
"F32.4","F324"
"F32.5","F325"
"F32.89","F3289"
"F32.9","F329"
"F32.A","F32A"
"F33","F33"
"F33.0","F330"
"F33.1","F331"
"F33.2","F332"
"F33.3","F333"
"F33.4","F334"
"F33.40","F3340"
"F33.41","F3341"
"F33.42","F3342"
"F33.8","F338"
"F33.9","F339"
"F34.1","F341"
"F40","F40"
"F40.0","F400"
"F40.00","F4000"
"F40.01","F4001"
"F40.02","F4002"
"F40.1","F401"
"F40.10","F4010"
"F40.11","F4011"
"F40.2","F402"
"F40.21","F4021"
"F40.210","F40210"
"F40.218","F40218"
"F40.22","F4022"
"F40.220","F40220"
"F40.228","F40228"
"F40.23","F4023"
"F40.230","F40230"
"F40.231","F40231"
"F40.232","F40232"
"F40.233","F40233"
"F40.24","F4024"
"F40.240","F40240"
"F40.241","F40241"
"F40.242","F40242"
"F40.243","F40243"
"F40.248","F40248"
"F40.29","F4029"
"F40.290","F40290"
"F40.291","F40291"
"F40.298","F40298"
"F40.8","F408"
"F40.9","F409"
"F41","F41"
"F41.0","F410"
"F41.1","F411"
"F41.3","F413"
"F41.8","F418"
"F41.9","F419"
"F42","F42"
"F42.2","F422"
"F42.3","F423"
"F42.4","F424"
"F42.8","F428"
"F42.9","F429"
"F43.0","F430"
"F43.1","F431"
"F43.21","F4321"
"F43.23","F4323"
"F44.9","F449"
"F45.8","F458"
"F48.8","F488"
"F48.9","F489"
"F93.8","F938"
"F99","F99"
"R45.2","R452"
"R45.5","R455"
"R45.6","R456"
"R45.7","R457"
"O44.10","O4410"
"O44.12","O4412"
"O44.13","O4413"
"O44.30","O4430"
"O44.32","O4432"
"O44.33","O4433"
"O44.50","O4450"
"O44.52","O4452"
"O44.53","O4453"
"O45.099","O45099"
"O45.8X2","O458X2"
"O45.8X3","O458X3"
"O45.8X9","O458X9"
"O45.90","O4590"
"O45.92","O4592"
"O45.93","O4593"
"O46.8X2","O468X2"
"O46.8X3","O468X3"
"O46.8X9","O468X9"
"O46.92","O4692"
"O46.93","O4693"
"O46.90","O4690"
"O43.212","O43212"
"O43.213","O43213"
"O43.219","O43219"
"O43.222","O43222"
"O43.223","O43223"
"O43.229","O43229"
"O43.232","O43232"
"O43.233","O43233"
"O43.239","O43239"
"O72","O72"
"O72.0","O720"
"O72.1","O721"
"O72.2","O722"
"O36.4","O364"
"O36.4XX0","O364XX0"
"O36.4XX1","O364XX1"
"O36.4XX2","O364XX2"
"O36.4XX3","O364XX3"
"O36.4XX4","O364XX4"
"O36.4XX5","O364XX5"
"O36.4XX9","O364XX9"
"P95","P95"
"Z37.1","Z371"
"Z37.3","Z373"
"Z37.4","Z374"
"Z37.7","Z377"
"O75.82","O7582"
"O82","O82"
"765","765"
"766","766"
"783","783"
"784","784"
"785","785"
"786","786"
"787","787"
"788","788"
"10D00Z0","10D00Z0"
"10D00Z1","10D00Z1"
"10D00Z2","10D00Z2"
"59510","59510"
"59514","59514"
"59515","59515"
"59618","59618"
"59620","59620"
"59622","59622"
"O80","O80"
"767","767"
"768","768"
"774","774"
"775","775"
"796","796"
"797","797"
"798","798"
"805","805"
"806","806"
"807","807"
"10D07Z3","10D07Z3"
"10D07Z4","10D07Z4"
"10D07Z5","10D07Z5"
"10D07Z6","10D07Z6"
"10D07Z7","10D07Z7"
"10D07Z8","10D07Z8"
"10E0XZZ","10E0XZZ"
"59400","59400"
"59409","59409"
"59410","59410"
"59610","59610"
"59612","59612"
"59614","59614"
NA,NA
"O30.001","O30001"
"O30.002","O30002"
"O30.003","O30003"
"O30.011","O30011"
"O30.012","O30012"
"O30.013","O30013"
"O30.031","O30031"
"O30.032","O30032"
"O30.033","O30033"
"O30.041","O30041"
"O30.042","O30042"
"O30.043","O30043"
"O30.091","O30091"
"O30.092","O30092"
"O30.093","O30093"
"O30.101","O30101"
"O30.102","O30102"
"O30.103","O30103"
"O30.111","O30111"
"O30.112","O30112"
"O30.113","O30113"
"O30.121","O30121"
"O30.122","O30122"
"O30.123","O30123"
"O30.191","O30191"
"O30.192","O30192"
"O30.193","O30193"
"O30.201","O30201"
"O30.202","O30202"
"O30.203","O30203"
"O30.211","O30211"
"O30.212","O30212"
"O30.213","O30213"
"O30.221","O30221"
"O30.222","O30222"
"O30.223","O30223"
"O30.291","O30291"
"O30.292","O30292"
"O30.293","O30293"
"O30.801","O30801"
"O30.802","O30802"
"O30.803","O30803"
"O30.811","O30811"
"O30.812","O30812"
"O30.813","O30813"
"O30.821","O30821"
"O30.822","O30822"
"O30.823","O30823"
"O30.891","O30891"
"O30.892","O30892"
"O30.893","O30893"
"O30.91","O3091"
"O30.92","O3092"
"O30.93","O3093"
"O31.11","O3111"
"O31.11X0","O3111X0"
"O31.11X1","O3111X1"
"O31.11X2","O3111X2"
"O31.11X3","O3111X3"
"O31.11X4","O3111X4"
"O31.11X5","O3111X5"
"O31.11X9","O3111X9"
"O31.12","O3112"
"O31.12X0","O3112X0"
"O31.12X1","O3112X1"
"O31.12X2","O3112X2"
"O31.12X3","O3112X3"
"O31.12X4","O3112X4"
"O31.12X5","O3112X5"
"O31.12X9","O3112X9"
"O31.13X0","O3113X0"
"O31.13X1","O3113X1"
"O31.13X2","O3113X2"
"O31.13X3","O3113X3"
"O31.13X4","O3113X4"
"O31.13X5","O3113X5"
"O31.13X9","O3113X9"
"O31.21","O3121"
"O31.21X0","O3121X0"
"O31.21X1","O3121X1"
"O31.21X2","O3121X2"
"O31.21X3","O3121X3"
"O31.21X4","O3121X4"
"O31.21X5","O3121X5"
"O31.21X9","O3121X9"
"O31.22","O3122"
"O31.22X0","O3122X0"
"O31.22X1","O3122X1"
"O31.22X2","O3122X2"
"O31.22X3","O3122X3"
"O31.22X4","O3122X4"
"O31.22X5","O3122X5"
"O31.22X9","O3122X9"
"O31.23","O3123"
"O31.23X0","O3123X0"
"O31.23X1","O3123X1"
"O31.23X2","O3123X2"
"O31.23X3","O3123X3"
"O31.23X4","O3123X4"
"O31.23X5","O3123X5"
"O31.23X9","O3123X9"
"O31.8X1","O318X1"
"O31.8X10","O318X10"
"O31.8X11","O318X11"
"O31.8X12","O318X12"
"O31.8X13","O318X13"
"O31.8X14","O318X14"
"O31.8X15","O318X15"
"O31.8X19","O318X19"
"O31.8X2","O318X2"
"O31.8X20","O318X20"
"O31.8X21","O318X21"
"O31.8X22","O318X22"
"O31.8X23","O318X23"
"O31.8X24","O318X24"
"O31.8X25","O318X25"
"O31.8X29","O318X29"
"O31.8X3","O318X3"
"O31.8X30","O318X30"
"O31.8X31","O318X31"
"O31.8X32","O318X32"
"O31.8X33","O318X33"
"O31.8X34","O318X34"
"O31.8X35","O318X35"
"O31.8X39","O318X39"
"O32.1","O321"
"O32.1XX0","O321XX0"
"O32.1XX1","O321XX1"
"O32.1XX2","O321XX2"
"O32.1XX3","O321XX3"
"O32.1XX4","O321XX4"
"O32.1XX5","O321XX5"
"O32.1XX9","O321XX9"
"O32.2","O322"
"O32.2XX0","O322XX0"
"O32.2XX1","O322XX1"
"O32.2XX2","O322XX2"
"O32.2XX3","O322XX3"
"O32.2XX4","O322XX4"
"O32.2XX5","O322XX5"
"O32.2XX9","O322XX9"
"O32.3","O323"
"O32.3XX0","O323XX0"
"O32.3XX1","O323XX1"
"O32.3XX2","O323XX2"
"O32.3XX3","O323XX3"
"O32.3XX4","O323XX4"
"O32.3XX5","O323XX5"
"O32.3XX9","O323XX9"
"O32.8XX0","O328XX0"
"O32.8XX1","O328XX1"
"O32.8XX2","O328XX2"
"O32.8XX3","O328XX3"
"O32.8XX4","O328XX4"
"O32.8XX5","O328XX5"
"O32.8XX9","O328XX9"
"O32.9","O329"
"O32.9XX0","O329XX0"
"O32.9XX1","O329XX1"
"O32.9XX2","O329XX2"
"O32.9XX3","O329XX3"
"O32.9XX4","O329XX4"
"O32.9XX5","O329XX5"
"O32.9XX9","O329XX9"
"O34.211","O34211"
"O34.212","O34212"
"O34.219","O34219"
"O60.12","O6012"
"O60.12X0","O6012X0"
"O60.12X1","O6012X1"
"O60.12X2","O6012X2"
"O60.12X3","O6012X3"
"O60.12X4","O6012X4"
"O60.12X5","O6012X5"
"O60.12X9","O6012X9"
"O60.13","O6013"
"O60.13X0","O6013X0"
"O60.13X1","O6013X1"
"O60.13X2","O6013X2"
"O60.13X3","O6013X3"
"O60.13X4","O6013X4"
"O60.13X5","O6013X5"
"O60.13X9","O6013X9"
"O60.14","O6014"
"O60.14X0","O6014X0"
"O60.14X1","O6014X1"
"O60.14X2","O6014X2"
"O60.14X3","O6014X3"
"O60.14X4","O6014X4"
"O60.14X5","O6014X5"
"O60.14X9","O6014X9"
"O60.22","O6022"
"O60.22X0","O6022X0"
"O60.22X1","O6022X1"
"O60.22X2","O6022X2"
"O60.22X3","O6022X3"
"O60.22X4","O6022X4"
"O60.22X5","O6022X5"
"O60.22X9","O6022X9"
"O60.23","O6023"
"O60.23X0","O6023X0"
"O60.23X1","O6023X1"
"O60.23X2","O6023X2"
"O60.23X3","O6023X3"
"O60.23X4","O6023X4"
"O60.23X5","O6023X5"
"O60.23X9","O6023X9"
"O63.2","O632"
"O64.1","O641"
"O64.1XX0","O641XX0"
"O64.1XX1","O641XX1"
"O64.1XX2","O641XX2"
"O64.1XX3","O641XX3"
"O64.1XX4","O641XX4"
"O64.1XX5","O641XX5"
"O64.1XX9","O641XX9"
"O64.2","O642"
"O64.2XX0","O642XX0"
"O64.2XX1","O642XX1"
"O64.2XX2","O642XX2"
"O64.2XX3","O642XX3"
"O64.2XX4","O642XX4"
"O64.2XX5","O642XX5"
"O64.2XX9","O642XX9"
"O64.3","O643"
"O64.3XX0","O643XX0"
"O64.3XX1","O643XX1"
"O64.3XX2","O643XX2"
"O64.3XX3","O643XX3"
"O64.3XX4","O643XX4"
"O64.3XX5","O643XX5"
"O64.3XX9","O643XX9"
"O66.1","O661"
"O66.6","O666"
"P01.5","P015"
"Z37.2","Z372"
"Z37.5","Z375"
"Z37.50","Z3750"
"Z37.51","Z3751"
"Z37.52","Z3752"
"Z37.53","Z3753"
"Z37.54","Z3754"
"Z37.59","Z3759"
"Z37.6","Z376"
"Z37.60","Z3760"
"Z37.61","Z3761"
"Z37.62","Z3762"
"Z37.63","Z3763"
"Z37.64","Z3764"
"Z37.69","Z3769"
"O66.5","O665"
"O95","O95"
"O96","O96"
"O96.0","O960"
"O96.1","O961"
"O96.9","O969"
"O97","O97"
"O97.0","O970"
"O97.1","O971"
"O97.9","O979"
"O70.2","O702"
"O70.20","O7020"
"O70.21","O7021"
"O70.22","O7022"
"O70.23","O7023"
"O70.3","O703"
"P07.0","P070"
"P07.00","P0700"
"P07.01","P0701"
"P07.02","P0702"
"P07.03","P0703"
"P07.1","P071"
"P07.10","P0710"
"P07.14","P0714"
"P07.15","P0715"
"P07.16","P0716"
"P07.17","P0717"
"P07.18","P0718"
"P07.2","P072"
"P07.20","P0720"
"P07.21","P0721"
"P07.22","P0722"
"P07.23","P0723"
"P07.24","P0724"
"P07.25","P0725"
"P07.26","P0726"
"P07.3","P073"
"P07.30","P0730"
"P07.31","P0731"
"P07.32","P0732"
"P07.33","P0733"
"P07.34","P0734"
"P07.35","P0735"
"P07.36","P0736"
"P07.37","P0737"
"P07.38","P0738"
"P07.39","P0739"
